"","name","price","id","rarity"
"1","
                                
                                    
                                        
                                
                                
                                    Alolan Vulpix V
                                
                            ","
                                     $1.26
                            ","
                                033/195
                            ","
                                Ultra Rare
                            "
"2","
                                
                                    
                                        
                                
                                
                                    Alolan Vulpix V (Full Art)
                                
                            ","
                                     $10.05
                            ","
                                173/195
                            ","
                                Ultra Rare
                            "
"3","
                                
                                    
                                        
                                
                                
                                    Alolan Vulpix VSTAR
                                
                            ","
                                     $2.98
                            ","
                                034/195
                            ","
                                Ultra Rare
                            "
"4","
                                
                                    
                                        
                                
                                
                                    Alolan Vulpix VSTAR (Secret)
                                
                            ","
                                     $15.86
                            ","
                                197/195
                            ","
                                Secret Rare
                            "
"5","
                                
                                    
                                        
                                
                                
                                    Altaria
                                
                            ","
                                     $0.06
                            ","
                                143/195
                            ","
                                Uncommon
                            "
"6","
                                
                                    
                                        
                                
                                
                                    Amoonguss
                                
                            ","
                                     $0.06
                            ","
                                012/195
                            ","
                                Rare
                            "
"7","
                                
                                    
                                        
                                
                                
                                    Anorith
                                
                            ","
                                     $0.04
                            ","
                                095/195
                            ","
                                Uncommon
                            "
"8","
                                
                                    
                                        
                                
                                
                                    Araquanid
                                
                            ","
                                     $0.05
                            ","
                                048/195
                            ","
                                Uncommon
                            "
"9","
                                
                                    
                                        
                                
                                
                                    Arcanine
                                
                            ","
                                     $0.08
                            ","
                                020/195
                            ","
                                Rare
                            "
"10","
                                
                                    
                                        
                                
                                
                                    Archen
                                
                            ","
                                     $0.04
                            ","
                                146/195
                            ","
                                Uncommon
                            "
"11","
                                
                                    
                                        
                                
                                
                                    Archeops
                                
                            ","
                                     $0.75
                            ","
                                147/195
                            ","
                                Rare
                            "
"12","
                                
                                    
                                        
                                
                                
                                    Ariados
                                
                            ","
                                     $0.24
                            ","
                                004/195
                            ","
                                Holo Rare
                            "
"13","
                                
                                    
                                        
                                
                                
                                    Armaldo
                                
                            ","
                                     $0.07
                            ","
                                096/195
                            ","
                                Rare
                            "
"14","
                                
                                    
                                        
                                
                                
                                    Articuno
                                
                            ","
                                     $0.33
                            ","
                                036/195
                            ","
                                Holo Rare
                            "
"15","
                                
                                    
                                        
                                
                                
                                    Baltoy
                                
                            ","
                                     $0.05
                            ","
                                093/195
                            ","
                                Common
                            "
"16","
                                
                                    
                                        
                                
                                
                                    Beheeyem
                                
                            ","
                                     $0.05
                            ","
                                080/195
                            ","
                                Uncommon
                            "
"17","
                                
                                    
                                        
                                
                                
                                    Beldum
                                
                            ","
                                     $0.03
                            ","
                                117/195
                            ","
                                Common
                            "
"18","
                                
                                    
                                        
                                
                                
                                    Braixen
                                
                            ","
                                     $0.04
                            ","
                                026/195
                            ","
                                Uncommon
                            "
"19","
                                
                                    
                                        
                                
                                
                                    Brandon
                                
                            ","
                                     $0.05
                            ","
                                151/195
                            ","
                                Uncommon
                            "
"20","
                                
                                    
                                        
                                
                                
                                    Brandon (Full Art)
                                
                            ","
                                     $5.69
                            ","
                                188/195
                            ","
                                Ultra Rare
                            "
"21","
                                
                                    
                                        
                                
                                
                                    Brandon (Secret)
                                
                            ","
                                     $3.77
                            ","
                                203/195
                            ","
                                Secret Rare
                            "
"22","
                                
                                    
                                        
                                
                                
                                    Buneary
                                
                            ","
                                     $0.02
                            ","
                                144/195
                            ","
                                Common
                            "
"23","
                                
                                    
                                        
                                
                                
                                    Candice
                                
                            ","
                                     $0.11
                            ","
                                152/195
                            ","
                                Uncommon
                            "
"24","
                                
                                    
                                        
                                
                                
                                    Candice (Full Art)
                                
                            ","
                                     $14.91
                            ","
                                189/195
                            ","
                                Ultra Rare
                            "
"25","
                                
                                    
                                        
                                
                                
                                    Candice (Secret)
                                
                            ","
                                     $8.23
                            ","
                                204/195
                            ","
                                Secret Rare
                            "
"26","
                                
                                    
                                        
                                
                                
                                    Capturing Aroma
                                
                            ","
                                     $0.09
                            ","
                                153/195
                            ","
                                Uncommon
                            "
"27","
                                
                                    
                                        
                                
                                
                                    Chesnaught V
                                
                            ","
                                     $0.63
                            ","
                                015/195
                            ","
                                Ultra Rare
                            "
"28","
                                
                                    
                                        
                                
                                
                                    Chesnaught V (Full Art)
                                
                            ","
                                     $2.85
                            ","
                                171/195
                            ","
                                Ultra Rare
                            "
"29","
                                
                                    
                                        
                                
                                
                                    Chimecho
                                
                            ","
                                     $0.02
                            ","
                                074/195
                            ","
                                Common
                            "
"30","
                                
                                    
                                        
                                
                                
                                    Chinchou
                                
                            ","
                                     $0.05
                            ","
                                051/195
                            ","
                                Common
                            "
"31","
                                
                                    
                                        
                                
                                
                                    Claydol
                                
                            ","
                                     $0.05
                            ","
                                094/195
                            ","
                                Uncommon
                            "
"32","
                                
                                    
                                        
                                
                                
                                    Cobalion
                                
                            ","
                                     $0.10
                            ","
                                126/195
                            ","
                                Rare
                            "
"33","
                                
                                    
                                        
                                
                                
                                    Code Card - Fall 2022 Collector Chest
                                
                            ","
                                     $1.94
                            ","
                                
                            ","
                                Code Card
                            "
"34","
                                
                                    
                                        
                                
                                
                                    Code Card - Silver Tempest Booster Pack
                                
                            ","
                                     $0.14
                            ","
                                
                            ","
                                Code Card
                            "
"35","
                                
                                    
                                        
                                
                                
                                    Croagunk
                                
                            ","
                                     $0.03
                            ","
                                109/195
                            ","
                                Common
                            "
"36","
                                
                                    
                                        
                                
                                
                                    Crobat
                                
                            ","
                                     $0.23
                            ","
                                105/195
                            ","
                                Holo Rare
                            "
"37","
                                
                                    
                                        
                                
                                
                                    Dedenne
                                
                            ","
                                     $0.04
                            ","
                                085/195
                            ","
                                Uncommon
                            "
"38","
                                
                                    
                                        
                                
                                
                                    Delphox
                                
                            ","
                                     $0.10
                            ","
                                027/195
                            ","
                                Rare
                            "
"39","
                                
                                    
                                        
                                
                                
                                    Dewpider
                                
                            ","
                                     $0.04
                            ","
                                047/195
                            ","
                                Common
                            "
"40","
                                
                                    
                                        
                                
                                
                                    Donphan
                                
                            ","
                                     $0.05
                            ","
                                092/195
                            ","
                                Uncommon
                            "
"41","
                                
                                    
                                        
                                
                                
                                    Dragapult
                                
                            ","
                                     $0.21
                            ","
                                089/195
                            ","
                                Holo Rare
                            "
"42","
                                
                                    
                                        
                                
                                
                                    Dragonair
                                
                            ","
                                     $0.05
                            ","
                                130/195
                            ","
                                Uncommon
                            "
"43","
                                
                                    
                                        
                                
                                
                                    Dragonite
                                
                            ","
                                     $0.36
                            ","
                                131/195
                            ","
                                Holo Rare
                            "
"44","
                                
                                    
                                        
                                
                                
                                    Drakloak
                                
                            ","
                                     $0.07
                            ","
                                088/195
                            ","
                                Uncommon
                            "
"45","
                                
                                    
                                        
                                
                                
                                    Dratini
                                
                            ","
                                     $0.03
                            ","
                                129/195
                            ","
                                Common
                            "
"46","
                                
                                    
                                        
                                
                                
                                    Dreepy
                                
                            ","
                                     $0.06
                            ","
                                087/195
                            ","
                                Common
                            "
"47","
                                
                                    
                                        
                                
                                
                                    Drowzee
                                
                            ","
                                     $0.05
                            ","
                                060/195
                            ","
                                Common
                            "
"48","
                                
                                    
                                        
                                
                                
                                    Duosion
                                
                            ","
                                     $0.03
                            ","
                                077/195
                            ","
                                Uncommon
                            "
"49","
                                
                                    
                                        
                                
                                
                                    Durant
                                
                            ","
                                     $0.02
                            ","
                                013/195
                            ","
                                Common
                            "
"50","
                                
                                    
                                        
                                
                                
                                    Earthen Seal Stone
                                
                            ","
                                     $0.49
                            ","
                                154/195
                            ","
                                Holo Rare
                            "
"51","
                                
                                    
                                        
                                
                                
                                    Elgyem
                                
                            ","
                                     $0.03
                            ","
                                079/195
                            ","
                                Common
                            "
"52","
                                
                                    
                                        
                                
                                
                                    Emergency Jelly
                                
                            ","
                                     $0.09
                            ","
                                155/195
                            ","
                                Uncommon
                            "
"53","
                                
                                    
                                        
                                
                                
                                    Emolga
                                
                            ","
                                     $0.03
                            ","
                                054/195
                            ","
                                Common
                            "
"54","
                                
                                    
                                        
                                
                                
                                    Energy Switch (Secret)
                                
                            ","
                                     $3.59
                            ","
                                212/195
                            ","
                                Secret Rare
                            "
"55","
                                
                                    
                                        
                                
                                
                                    Espurr
                                
                            ","
                                     $0.04
                            ","
                                081/195
                            ","
                                Common
                            "
"56","
                                
                                    
                                        
                                
                                
                                    Feebas
                                
                            ","
                                     $0.04
                            ","
                                039/195
                            ","
                                Common
                            "
"57","
                                
                                    
                                        
                                
                                
                                    Fennekin
                                
                            ","
                                     $0.04
                            ","
                                025/195
                            ","
                                Common
                            "
"58","
                                
                                    
                                        
                                
                                
                                    Ferroseed
                                
                            ","
                                     $0.04
                            ","
                                121/195
                            ","
                                Common
                            "
"59","
                                
                                    
                                        
                                
                                
                                    Ferrothorn
                                
                            ","
                                     $0.05
                            ","
                                122/195
                            ","
                                Uncommon
                            "
"60","
                                
                                    
                                        
                                
                                
                                    Fletchinder
                                
                            ","
                                     $0.05
                            ","
                                028/195
                            ","
                                Uncommon
                            "
"61","
                                
                                    
                                        
                                
                                
                                    Fletchling
                                
                            ","
                                     $0.03
                            ","
                                150/195
                            ","
                                Common
                            "
"62","
                                
                                    
                                        
                                
                                
                                    Foongus
                                
                            ","
                                     $0.03
                            ","
                                011/195
                            ","
                                Common
                            "
"63","
                                
                                    
                                        
                                
                                
                                    Forest Seal Stone
                                
                            ","
                                     $3.40
                            ","
                                156/195
                            ","
                                Holo Rare
                            "
"64","
                                
                                    
                                        
                                
                                
                                    Froslass
                                
                            ","
                                     $0.06
                            ","
                                043/195
                            ","
                                Rare
                            "
"65","
                                
                                    
                                        
                                
                                
                                    Furisode Girl
                                
                            ","
                                     $0.06
                            ","
                                157/195
                            ","
                                Uncommon
                            "
"66","
                                
                                    
                                        
                                
                                
                                    Furisode Girl (Full Art)
                                
                            ","
                                     $11.73
                            ","
                                190/195
                            ","
                                Ultra Rare
                            "
"67","
                                
                                    
                                        
                                
                                
                                    Furisode Girl (Secret)
                                
                            ","
                                     $6.83
                            ","
                                205/195
                            ","
                                Secret Rare
                            "
"68","
                                
                                    
                                        
                                
                                
                                    Gapejaw Bog
                                
                            ","
                                     $6.62
                            ","
                                213/195
                            ","
                                Secret Rare
                            "
"69","
                                
                                    
                                        
                                
                                
                                    Gardevoir
                                
                            ","
                                     $0.09
                            ","
                                069/195
                            ","
                                Rare
                            "
"70","
                                
                                    
                                        
                                
                                
                                    Glalie
                                
                            ","
                                     $0.05
                            ","
                                042/195
                            ","
                                Uncommon
                            "
"71","
                                
                                    
                                        
                                
                                
                                    Golbat
                                
                            ","
                                     $0.04
                            ","
                                104/195
                            ","
                                Uncommon
                            "
"72","
                                
                                    
                                        
                                
                                
                                    Growlithe
                                
                            ","
                                     $0.04
                            ","
                                019/195
                            ","
                                Common
                            "
"73","
                                
                                    
                                        
                                
                                
                                    Gym Trainer
                                
                            ","
                                     $0.06
                            ","
                                158/195
                            ","
                                Uncommon
                            "
"74","
                                
                                    
                                        
                                
                                
                                    Gym Trainer (Full Art)
                                
                            ","
                                     $2.53
                            ","
                                191/195
                            ","
                                Ultra Rare
                            "
"75","
                                
                                    
                                        
                                
                                
                                    Hawlucha
                                
                            ","
                                     $0.04
                            ","
                                098/195
                            ","
                                Common
                            "
"76","
                                
                                    
                                        
                                
                                
                                    Hisuian Arcanine V
                                
                            ","
                                     $0.85
                            ","
                                090/195
                            ","
                                Ultra Rare
                            "
"77","
                                
                                    
                                        
                                
                                
                                    Hisuian Arcanine V (Full Art)
                                
                            ","
                                     $4.41
                            ","
                                179/195
                            ","
                                Ultra Rare
                            "
"78","
                                
                                    
                                        
                                
                                
                                    Hisuian Braviary
                                
                            ","
                                     $0.07
                            ","
                                149/195
                            ","
                                Rare
                            "
"79","
                                
                                    
                                        
                                
                                
                                    Hisuian Lilligant
                                
                            ","
                                     $0.06
                            ","
                                010/195
                            ","
                                Rare
                            "
"80","
                                
                                    
                                        
                                
                                
                                    Honchkrow
                                
                            ","
                                     $0.04
                            ","
                                107/195
                            ","
                                Uncommon
                            "
"81","
                                
                                    
                                        
                                
                                
                                    Ho-Oh V
                                
                            ","
                                     $1.35
                            ","
                                140/195
                            ","
                                Ultra Rare
                            "
"82","
                                
                                    
                                        
                                
                                
                                    Ho-Oh V (Full Art)
                                
                            ","
                                     $7.43
                            ","
                                187/195
                            ","
                                Ultra Rare
                            "
"83","
                                
                                    
                                        
                                
                                
                                    Hypno
                                
                            ","
                                     $0.03
                            ","
                                061/195
                            ","
                                Uncommon
                            "
"84","
                                
                                    
                                        
                                
                                
                                    Incineroar
                                
                            ","
                                     $0.09
                            ","
                                032/195
                            ","
                                Rare
                            "
"85","
                                
                                    
                                        
                                
                                
                                    Indeedee
                                
                            ","
                                     $0.05
                            ","
                                086/195
                            ","
                                Common
                            "
"86","
                                
                                    
                                        
                                
                                
                                    Jynx
                                
                            ","
                                     $0.04
                            ","
                                062/195
                            ","
                                Uncommon
                            "
"87","
                                
                                    
                                        
                                
                                
                                    Keldeo
                                
                            ","
                                     $0.06
                            ","
                                046/195
                            ","
                                Rare
                            "
"88","
                                
                                    
                                        
                                
                                
                                    Kirlia
                                
                            ","
                                     $0.08
                            ","
                                068/195
                            ","
                                Uncommon
                            "
"89","
                                
                                    
                                        
                                
                                
                                    Klang
                                
                            ","
                                     $0.03
                            ","
                                124/195
                            ","
                                Uncommon
                            "
"90","
                                
                                    
                                        
                                
                                
                                    Klink
                                
                            ","
                                     $0.03
                            ","
                                123/195
                            ","
                                Common
                            "
"91","
                                
                                    
                                        
                                
                                
                                    Klinklang
                                
                            ","
                                     $0.07
                            ","
                                125/195
                            ","
                                Rare
                            "
"92","
                                
                                    
                                        
                                
                                
                                    Krokorok
                                
                            ","
                                     $0.05
                            ","
                                112/195
                            ","
                                Uncommon
                            "
"93","
                                
                                    
                                        
                                
                                
                                    Krookodile
                                
                            ","
                                     $0.24
                            ","
                                113/195
                            ","
                                Holo Rare
                            "
"94","
                                
                                    
                                        
                                
                                
                                    Lance
                                
                            ","
                                     $0.05
                            ","
                                159/195
                            ","
                                Uncommon
                            "
"95","
                                
                                    
                                        
                                
                                
                                    Lance (Full Art)
                                
                            ","
                                     $7.39
                            ","
                                192/195
                            ","
                                Ultra Rare
                            "
"96","
                                
                                    
                                        
                                
                                
                                    Lance (Secret)
                                
                            ","
                                     $6.00
                            ","
                                206/195
                            ","
                                Secret Rare
                            "
"97","
                                
                                    
                                        
                                
                                
                                    Lanturn
                                
                            ","
                                     $0.04
                            ","
                                052/195
                            ","
                                Uncommon
                            "
"98","
                                
                                    
                                        
                                
                                
                                    Leafy Camo Poncho
                                
                            ","
                                     $0.07
                            ","
                                160/195
                            ","
                                Uncommon
                            "
"99","
                                
                                    
                                        
                                
                                
                                    Leafy Camo Poncho (Secret)
                                
                            ","
                                     $2.62
                            ","
                                214/195
                            ","
                                Secret Rare
                            "
"100","
                                
                                    
                                        
                                
                                
                                    Litten
                                
                            ","
                                     $0.02
                            ","
                                030/195
                            ","
                                Common
                            "
"101","
                                
                                    
                                        
                                
                                
                                    Lopunny
                                
                            ","
                                     $0.05
                            ","
                                145/195
                            ","
                                Uncommon
                            "
"102","
                                
                                    
                                        
                                
                                
                                    Lugia V
                                
                            ","
                                     $10.97
                            ","
                                138/195
                            ","
                                Ultra Rare
                            "
"103","
                                
                                    
                                        
                                
                                
                                    Lugia V (Alternate Full Art)
                                
                            ","
                                     $227.39
                            ","
                                186/195
                            ","
                                Ultra Rare
                            "
"104","
                                
                                    
                                        
                                
                                
                                    Lugia V (Full Art)
                                
                            ","
                                     $17.51
                            ","
                                185/195
                            ","
                                Ultra Rare
                            "
"105","
                                
                                    
                                        
                                
                                
                                    Lugia VSTAR
                                
                            ","
                                     $19.49
                            ","
                                139/195
                            ","
                                Ultra Rare
                            "
"106","
                                
                                    
                                        
                                
                                
                                    Lugia VSTAR (Secret) (202)
                                
                            ","
                                     $38.76
                            ","
                                202/195
                            ","
                                Secret Rare
                            "
"107","
                                
                                    
                                        
                                
                                
                                    Lugia VSTAR (Secret) (211)
                                
                            ","
                                     $36.75
                            ","
                                211/195
                            ","
                                Secret Rare
                            "
"108","
                                
                                    
                                        
                                
                                
                                    Magearna V
                                
                            ","
                                     $0.53
                            ","
                                128/195
                            ","
                                Ultra Rare
                            "
"109","
                                
                                    
                                        
                                
                                
                                    Magearna V (Full Art)
                                
                            ","
                                     $2.45
                            ","
                                182/195
                            ","
                                Ultra Rare
                            "
"110","
                                
                                    
                                        
                                
                                
                                    Mareanie
                                
                            ","
                                     $0.05
                            ","
                                114/195
                            ","
                                Common
                            "
"111","
                                
                                    
                                        
                                
                                
                                    Mawile V
                                
                            ","
                                     $0.70
                            ","
                                070/195
                            ","
                                Ultra Rare
                            "
"112","
                                
                                    
                                        
                                
                                
                                    Mawile V (Full Art)
                                
                            ","
                                     $2.48
                            ","
                                178/195
                            ","
                                Ultra Rare
                            "
"113","
                                
                                    
                                        
                                
                                
                                    Mawile VSTAR
                                
                            ","
                                     $1.05
                            ","
                                071/195
                            ","
                                Ultra Rare
                            "
"114","
                                
                                    
                                        
                                
                                
                                    Mawile VSTAR (Secret)
                                
                            ","
                                     $5.59
                            ","
                                200/195
                            ","
                                Secret Rare
                            "
"115","
                                
                                    
                                        
                                
                                
                                    Medicham
                                
                            ","
                                     $0.22
                            ","
                                073/195
                            ","
                                Holo Rare
                            "
"116","
                                
                                    
                                        
                                
                                
                                    Meditite
                                
                            ","
                                     $0.03
                            ","
                                072/195
                            ","
                                Common
                            "
"117","
                                
                                    
                                        
                                
                                
                                    Meowstic
                                
                            ","
                                     $0.05
                            ","
                                082/195
                            ","
                                Uncommon
                            "
"118","
                                
                                    
                                        
                                
                                
                                    Metagross
                                
                            ","
                                     $0.29
                            ","
                                119/195
                            ","
                                Holo Rare
                            "
"119","
                                
                                    
                                        
                                
                                
                                    Metang
                                
                            ","
                                     $0.05
                            ","
                                118/195
                            ","
                                Uncommon
                            "
"120","
                                
                                    
                                        
                                
                                
                                    Milotic
                                
                            ","
                                     $0.06
                            ","
                                040/195
                            ","
                                Rare
                            "
"121","
                                
                                    
                                        
                                
                                
                                    Misdreavus
                                
                            ","
                                     $0.03
                            ","
                                063/195
                            ","
                                Common
                            "
"122","
                                
                                    
                                        
                                
                                
                                    Mismagius
                                
                            ","
                                     $0.08
                            ","
                                064/195
                            ","
                                Rare
                            "
"123","
                                
                                    
                                        
                                
                                
                                    Morpeko
                                
                            ","
                                     $0.05
                            ","
                                116/195
                            ","
                                Uncommon
                            "
"124","
                                
                                    
                                        
                                
                                
                                    Murkrow
                                
                            ","
                                     $0.03
                            ","
                                106/195
                            ","
                                Common
                            "
"125","
                                
                                    
                                        
                                
                                
                                    Ninetales
                                
                            ","
                                     $0.04
                            ","
                                018/195
                            ","
                                Uncommon
                            "
"126","
                                
                                    
                                        
                                
                                
                                    Noibat
                                
                            ","
                                     $0.05
                            ","
                                132/195
                            ","
                                Common
                            "
"127","
                                
                                    
                                        
                                
                                
                                    Noivern
                                
                            ","
                                     $0.08
                            ","
                                133/195
                            ","
                                Rare
                            "
"128","
                                
                                    
                                        
                                
                                
                                    Omastar V
                                
                            ","
                                     $0.77
                            ","
                                035/195
                            ","
                                Ultra Rare
                            "
"129","
                                
                                    
                                        
                                
                                
                                    Omastar V (Full Art)
                                
                            ","
                                     $2.89
                            ","
                                174/195
                            ","
                                Ultra Rare
                            "
"130","
                                
                                    
                                        
                                
                                
                                    Palossand
                                
                            ","
                                     $0.03
                            ","
                                100/195
                            ","
                                Uncommon
                            "
"131","
                                
                                    
                                        
                                
                                
                                    Petilil
                                
                            ","
                                     $0.02
                            ","
                                009/195
                            ","
                                Common
                            "
"132","
                                
                                    
                                        
                                
                                
                                    Phanpy
                                
                            ","
                                     $0.04
                            ","
                                091/195
                            ","
                                Common
                            "
"133","
                                
                                    
                                        
                                
                                
                                    Phione
                                
                            ","
                                     $0.07
                            ","
                                045/195
                            ","
                                Rare
                            "
"134","
                                
                                    
                                        
                                
                                
                                    Pikachu
                                
                            ","
                                     $0.07
                            ","
                                049/195
                            ","
                                Common
                            "
"135","
                                
                                    
                                        
                                
                                
                                    Ponyta
                                
                            ","
                                     $0.04
                            ","
                                021/195
                            ","
                                Common
                            "
"136","
                                
                                    
                                        
                                
                                
                                    Primordial Altar
                                
                            ","
                                     $0.06
                            ","
                                161/195
                            ","
                                Uncommon
                            "
"137","
                                
                                    
                                        
                                
                                
                                    Professor Laventon
                                
                            ","
                                     $0.06
                            ","
                                162/195
                            ","
                                Uncommon
                            "
"138","
                                
                                    
                                        
                                
                                
                                    Quad Stone
                                
                            ","
                                     $0.08
                            ","
                                163/195
                            ","
                                Uncommon
                            "
"139","
                                
                                    
                                        
                                
                                
                                    Radiant Alakazam
                                
                            ","
                                     $1.10
                            ","
                                059/195
                            ","
                                Radiant Rare
                            "
"140","
                                
                                    
                                        
                                
                                
                                    Radiant Jirachi
                                
                            ","
                                     $1.15
                            ","
                                120/195
                            ","
                                Radiant Rare
                            "
"141","
                                
                                    
                                        
                                
                                
                                    Radiant Tsareena
                                
                            ","
                                     $0.45
                            ","
                                016/195
                            ","
                                Radiant Rare
                            "
"142","
                                
                                    
                                        
                                
                                
                                    Raichu
                                
                            ","
                                     $0.07
                            ","
                                050/195
                            ","
                                Uncommon
                            "
"143","
                                
                                    
                                        
                                
                                
                                    Ralts
                                
                            ","
                                     $0.02
                            ","
                                067/195
                            ","
                                Common
                            "
"144","
                                
                                    
                                        
                                
                                
                                    Rapidash
                                
                            ","
                                     $0.23
                            ","
                                022/195
                            ","
                                Holo Rare
                            "
"145","
                                
                                    
                                        
                                
                                
                                    Regenerative Energy
                                
                            ","
                                     $0.07
                            ","
                                168/195
                            ","
                                Uncommon
                            "
"146","
                                
                                    
                                        
                                
                                
                                    Regidrago V
                                
                            ","
                                     $1.16
                            ","
                                135/195
                            ","
                                Ultra Rare
                            "
"147","
                                
                                    
                                        
                                
                                
                                    Regidrago V (Alternate Full Art)
                                
                            ","
                                     $49.60
                            ","
                                184/195
                            ","
                                Ultra Rare
                            "
"148","
                                
                                    
                                        
                                
                                
                                    Regidrago V (Full Art)
                                
                            ","
                                     $5.64
                            ","
                                183/195
                            ","
                                Ultra Rare
                            "
"149","
                                
                                    
                                        
                                
                                
                                    Regidrago VSTAR
                                
                            ","
                                     $2.80
                            ","
                                136/195
                            ","
                                Ultra Rare
                            "
"150","
                                
                                    
                                        
                                
                                
                                    Regidrago VSTAR (Secret)
                                
                            ","
                                     $11.10
                            ","
                                201/195
                            ","
                                Secret Rare
                            "
"151","
                                
                                    
                                        
                                
                                
                                    Regieleki V
                                
                            ","
                                     $0.98
                            ","
                                057/195
                            ","
                                Ultra Rare
                            "
"152","
                                
                                    
                                        
                                
                                
                                    Regieleki V (Full Art)
                                
                            ","
                                     $4.54
                            ","
                                175/195
                            ","
                                Ultra Rare
                            "
"153","
                                
                                    
                                        
                                
                                
                                    Regieleki VMAX
                                
                            ","
                                     $2.37
                            ","
                                058/195
                            ","
                                Ultra Rare
                            "
"154","
                                
                                    
                                        
                                
                                
                                    Regieleki VMAX (Secret)
                                
                            ","
                                     $6.68
                            ","
                                198/195
                            ","
                                Secret Rare
                            "
"155","
                                
                                    
                                        
                                
                                
                                    Relicanth
                                
                            ","
                                     $0.03
                            ","
                                044/195
                            ","
                                Common
                            "
"156","
                                
                                    
                                        
                                
                                
                                    Reshiram V
                                
                            ","
                                     $0.84
                            ","
                                024/195
                            ","
                                Ultra Rare
                            "
"157","
                                
                                    
                                        
                                
                                
                                    Reshiram V (Full Art)
                                
                            ","
                                     $4.27
                            ","
                                172/195
                            ","
                                Ultra Rare
                            "
"158","
                                
                                    
                                        
                                
                                
                                    Reuniclus
                                
                            ","
                                     $0.23
                            ","
                                078/195
                            ","
                                Holo Rare
                            "
"159","
                                
                                    
                                        
                                
                                
                                    Rotom
                                
                            ","
                                     $0.03
                            ","
                                053/195
                            ","
                                Common
                            "
"160","
                                
                                    
                                        
                                
                                
                                    Rufflet
                                
                            ","
                                     $0.04
                            ","
                                148/195
                            ","
                                Common
                            "
"161","
                                
                                    
                                        
                                
                                
                                    Sandile
                                
                            ","
                                     $0.04
                            ","
                                111/195
                            ","
                                Common
                            "
"162","
                                
                                    
                                        
                                
                                
                                    Sandygast
                                
                            ","
                                     $0.04
                            ","
                                099/195
                            ","
                                Common
                            "
"163","
                                
                                    
                                        
                                
                                
                                    Serena
                                
                            ","
                                     $0.47
                            ","
                                164/195
                            ","
                                Uncommon
                            "
"164","
                                
                                    
                                        
                                
                                
                                    Serena (Full Art)
                                
                            ","
                                     $50.76
                            ","
                                193/195
                            ","
                                Ultra Rare
                            "
"165","
                                
                                    
                                        
                                
                                
                                    Serena (Secret)
                                
                            ","
                                     $17.35
                            ","
                                207/195
                            ","
                                Secret Rare
                            "
"166","
                                
                                    
                                        
                                
                                
                                    Serperior V
                                
                            ","
                                     $0.76
                            ","
                                007/195
                            ","
                                Ultra Rare
                            "
"167","
                                
                                    
                                        
                                
                                
                                    Serperior V (Full Art)
                                
                            ","
                                     $4.03
                            ","
                                170/195
                            ","
                                Ultra Rare
                            "
